threshold,ticker,trade_type,sim_exit_time,sim_exit_price,sim_return_pct,sim_duration_minutes,actual_exit_time,actual_exit_price,actual_return_pct,actual_duration_minutes,return_delta_pct,duration_delta_minutes,was_winner,is_winner,outcome_changed,macd_peak_valley,macd_exit_level,original_index
0.75,ASIANPAINT,Buy,2024-04-02 11:20:00,2879.1,0.05560382276281179,60.0,2024-04-02 11:20:00,2879.1,0.0556038227628117,60.0,9.020562075079397e-17,0.0,True,True,False,4.716877380957158,3.537658035717868,4291
0.75,ASIANPAINT,Buy,2024-04-03 14:35:00,2872.75,0.1307075636110143,100.0,2024-04-03 14:35:00,2872.75,0.1307075636110143,100.0,0.0,0.0,True,True,False,2.879069138423347,2.15930185381751,4293
0.75,ASIANPAINT,Buy,2024-04-04 15:05:00,2914.15,1.3705539612140218,180.0,2024-04-04 15:05:00,2914.15,1.3705539612140218,180.0,0.0,0.0,True,True,False,16.07031352363856,12.05273514272892,4295
0.75,ASIANPAINT,Buy,2024-04-09 10:35:00,2903.05,0.13970334598137915,75.0,2024-04-09 10:35:00,2903.05,0.1397033459813791,75.0,5.551115123125783e-17,0.0,True,True,False,3.783561753505637,2.837671315129228,4301
0.75,ASIANPAINT,Buy,2024-04-10 12:50:00,2887.1,0.3127062992946736,70.0,2024-04-10 12:50:00,2887.1,0.3127062992946736,70.0,0.0,0.0,True,True,False,3.308892686909985,2.481669515182489,4303
0.75,ASIANPAINT,Buy,2024-04-10 14:50:00,2895.8,0.0967853439336392,45.0,2024-04-10 14:50:00,2895.8,0.0967853439336391,45.0,9.71445146547012e-17,0.0,True,True,False,5.680146612708995,4.260109959531746,4304
0.75,ASIANPAINT,Buy,2024-04-10 15:15:00,2898.2,0.001725238514215177,15.0,2024-04-10 15:15:00,2898.2,0.0017252385142151,15.0,7.697835424647081e-17,0.0,True,True,False,6.104841694898369,4.578631271173776,4305
0.75,ASIANPAINT,Buy,2024-04-15 15:00:00,2842.6,-0.3278458598502747,25.0,2024-04-15 15:15:00,2841.55,-0.3646627745928097,40.0,0.03681691474253501,-15.0,False,False,False,-0.7404488068714272,-0.5553366051535704,4311
0.75,ASIANPAINT,Buy,2024-04-18 12:35:00,2847.9,0.3842086711314801,105.0,2024-04-18 12:35:00,2847.9,0.3842086711314801,105.0,0.0,0.0,True,True,False,5.6000555558975975,4.200041666923198,4316
0.75,ASIANPAINT,Buy,2024-04-19 14:30:00,2814.55,-0.11179330659756667,35.0,2024-04-19 14:35:00,2809.2,-0.3016644781204529,40.0,0.1898711715228862,-5.0,False,False,False,0.2147096243443229,0.16103221825824215,4319
0.75,ASIANPAINT,Buy,2024-04-22 11:20:00,2834.1,0.48396532468223485,120.0,2024-04-22 11:20:00,2834.1,0.4839653246822348,120.0,5.551115123125783e-17,0.0,True,True,False,7.390060651960084,5.542545488970063,4320
0.75,ASIANPAINT,Buy,2024-04-22 12:20:00,2838.95,0.18527014151109858,55.0,2024-04-22 12:20:00,2838.95,0.1852701415110985,55.0,8.326672684688674e-17,0.0,True,True,False,8.528731181284002,6.396548385963001,4321
0.75,ASIANPAINT,Buy,2024-04-23 10:35:00,2855.35,-0.08048571378580938,60.0,2024-04-23 10:35:00,2855.35,-0.0804857137858093,60.0,-6.938893903907228e-17,0.0,False,False,False,9.61357496238452,7.210181221788391,4322
