Trade Type,Entry Time,Entry Price,High During Trade,Low During Trade,High Time,Low Time,Exit Time,Exit Price,Profit (Currency),Profit (%),Trade Duration (min),PnL,Target (%),Drawdown (%),RRR,Recovery Time (min),ticker,strategy_generated,risk_processed,percentage_return,entry_open,entry_high,entry_low,entry_close,entry_volume,entry_timestamp,exit_open,exit_high,exit_low,exit_close,exit_volume,exit_timestamp,trade_duration_minutes,trade_intervals,entry_time_alignment_seconds,exit_time_alignment_seconds,entry_5m_macd_line,exit_5m_macd_line,5m_macd_line_change,entry_5m_signal_line,exit_5m_signal_line,5m_signal_line_change,entry_5m_macd_hist,exit_5m_macd_hist,5m_macd_hist_change,entry_5m_ema_9,exit_5m_ema_9,5m_ema_9_change,entry_5m_ema_20,exit_5m_ema_20,5m_ema_20_change,entry_15m_macd_line,exit_15m_macd_line,15m_macd_line_change,entry_15m_signal_line,exit_15m_signal_line,15m_signal_line_change,entry_15m_macd_hist,exit_15m_macd_hist,15m_macd_hist_change,entry_15m_ema_9,exit_15m_ema_9,15m_ema_9_change,entry_15m_ema_20,exit_15m_ema_20,15m_ema_20_change,entry_entry_signal_buy,exit_entry_signal_buy,entry_entry_signal_sell,exit_entry_signal_sell,entry_exit_signal_buy,exit_exit_signal_buy,entry_exit_signal_sell,exit_exit_signal_sell,MFE_pct,MAE_pct,MFE_Capture_Ratio,Exit_Efficiency_Score,Potential_Left_on_Table_pct,MAE_MFE_Ratio
Buy,2024-02-21 09:15:00,1286.65,1288.05,1286.65,2024-02-21 09:20:00+05:30,2024-02-21 09:15:00+05:30,2024-02-21 09:20:00,1288.05,1.3999999999998636,0.1088096996074972,5.0,0.0,0.11,0.0,,5.0,TECHM,True,False,0.1088096996074972,1292.0,1297.0,1279.3,1286.65,75241,2024-02-21 09:15:00,1285.8,1288.45,1284.05,1288.05,28428,2024-02-21 09:20:00,5.0,1,0.0,0.0,1.8384966417545456,1.497072205808763,-0.34142443594578253,1.9083444510862264,1.8260900020307336,-0.08225444905549284,-0.0698478093316807,-0.3290177962219707,-0.25916998689029,1290.9849815933155,1290.3979852746525,-0.5869963186630685,1289.5349358600802,1289.3935133972152,-0.1414224628649663,2.976962184276545,2.976962184276545,0.0,2.4019555969448403,2.4019555969448403,0.0,0.5750065873317043,0.5750065873317043,0.0,1289.294818696578,1289.294818696578,0.0,1286.5077990988382,1286.5077990988382,0.0,True,False,False,False,False,True,False,False,0.8044145649554975,0.5712509229394268,13.526570048307974,-21.980676328504586,0.6956048653480003,0.7101449275362512
Buy,2024-02-21 10:00:00,1294.5,1294.5,1292.1,2024-02-21 10:00:00+05:30,2024-02-21 10:05:00+05:30,2024-02-21 10:05:00,1292.1,-2.400000000000091,-0.1853997682502967,5.0,0.0,0.0,0.19,-1.0,0.0,TECHM,True,False,-0.1853997682502967,1293.5,1295.0,1293.0,1294.5,10608,2024-02-21 10:00:00,1294.5,1294.65,1291.85,1292.1,10092,2024-02-21 10:05:00,5.0,1,0.0,0.0,1.6442816467244938,1.518060905586026,-0.12622074113846793,1.558177944462205,1.5501545366869691,-0.008023407775235913,0.0861037022622888,-0.0320936311009434,-0.11819733336323221,1292.546988193177,1292.4575905545416,-0.0893976386353188,1291.1973583795088,1291.2833242481272,0.08596586861835931,3.091364759362932,3.091364759362932,0.0,2.72869412390041,2.72869412390041,0.0,0.3626706354625222,0.3626706354625222,0.0,1290.739747172648,1290.739747172648,0.0,1287.9913825741207,1287.9913825741207,0.0,True,True,False,False,False,True,False,False,0.03862495171881035,0.2047122441097019,-480.0000000000182,-745.0000000000273,0.22402471996910706,5.300000000000183
Sell,2024-02-21 13:05:00,1284.3,1285.35,1266.4,2024-02-21 13:35:00+05:30,2024-02-21 14:55:00+05:30,2024-02-21 15:15:00,1266.75,17.549999999999955,1.366503153468812,130.0,0.0,1.39,0.08,16.71,100.0,TECHM,True,False,1.366503153468812,1286.15,1286.7,1283.3,1284.3,22929,2024-02-21 13:05:00,1271.5,1271.5,1265.75,1266.75,79930,2024-02-21 15:15:00,130.0,26,0.0,0.0,-0.7255424774809853,-4.140960280964464,-3.4154178034834786,-0.4462816246262935,-4.196753599032399,-3.7504719744061052,-0.2792608528546918,0.055793318067935,0.3350541709226268,1287.4131115061225,1269.9994365102764,-17.413674995846122,1288.1772935887864,1273.3458402195524,-14.831453369233941,0.3700356278829986,-4.535256690644474,-4.905292318527472,1.2444272561994694,-2.6362633434933924,-3.880690599692862,-0.8743916283164708,-1.8989933471510807,-1.02460171883461,1287.629749169156,1274.3159734866945,-13.313775682461483,1287.9706824828236,1279.3868902258548,-8.583792256968763,False,False,True,False,False,False,False,True,1.5650548937164146,0.1868722261154007,87.31343283582103,81.34328358208944,0.1985517402476027,0.11940298507463191
Buy,2024-02-22 13:05:00,1282.0,1301.45,1278.9,2024-02-22 15:15:00+05:30,2024-02-22 13:30:00+05:30,2024-02-22 15:15:00,1301.45,19.450000000000045,1.5171606864274607,130.0,0.0,1.52,0.24,6.27,105.0,TECHM,True,False,1.5171606864274607,1281.65,1282.35,1280.15,1282.0,16081,2024-02-22 13:05:00,1296.5,1301.8,1296.15,1301.45,104880,2024-02-22 15:15:00,130.0,26,0.0,0.0,0.7113350310344231,4.79524958999059,4.083914558956167,0.527206069601434,3.6846005881488537,3.1573945185474197,0.184128961432989,1.110649001841736,0.926520040408747,1280.3361183017478,1296.2028714881967,15.866753186448932,1279.6471331518724,1291.5549452123155,11.90781206044312,-0.3654551176621226,3.7634631315147535,4.128918249176876,-1.0490117344578038,1.7581934791927287,2.8072052136505325,0.6835566167956812,2.005269652322026,1.3217130355263447,1279.7173546938204,1290.4280281235751,10.710673429754706,1279.5237048212082,1285.974699990399,6.450995169190719,True,False,False,False,False,True,False,False,1.5990639625585021,0.3042121684867466,94.87804878048804,85.3658536585366,0.08190327613104142,0.19024390243902886
Buy,2024-02-23 09:15:00,1309.0,1313.0,1302.35,2024-02-23 09:35:00+05:30,2024-02-23 09:55:00+05:30,2024-02-23 10:20:00,1305.5,-3.5,-0.267379679144385,65.0,0.0,0.31,0.51,-0.53,25.0,TECHM,True,False,-0.267379679144385,1310.9,1314.55,1306.1,1309.0,146474,2024-02-23 09:15:00,1306.05,1306.95,1305.25,1305.5,11522,2024-02-23 10:20:00,65.0,13,0.0,0.0,5.3326247892941865,3.891441974391455,-1.4411828149027315,4.31183881204682,4.734793505596511,0.4229546935496913,1.0207859772473666,-0.8433515312050561,-1.8641375084524228,1299.3502702019568,1305.6162358075774,6.265965605620522,1294.328362942584,1303.0715131817158,8.743150239131865,4.788286886434207,6.927899280451811,2.139612394017604,2.3642121606410247,4.82363095281714,2.4594187921761157,2.4240747257931825,2.1042683276346708,-0.31980639815851175,1293.3524224988605,1301.1656322555334,7.813209756672904,1287.7913952294082,1294.0130173008763,6.2216220714681185,True,False,False,False,False,True,False,False,0.4239877769289499,0.5271199388846517,-63.063063063063574,-125.22522522522706,0.6913674560733349,1.2432432432432698
Sell,2024-02-23 14:35:00,1295.8,1296.8,1292.95,2024-02-23 15:05:00+05:30,2024-02-23 15:00:00+05:30,2024-02-23 15:15:00,1293.7,2.099999999999909,0.1620620466121244,40.0,0.0,0.22,0.08,2.1,10.0,TECHM,True,False,0.1620620466121244,1294.5,1295.8,1294.05,1295.8,9083,2024-02-23 14:35:00,1293.3,1295.2,1290.85,1293.7,53085,2024-02-23 15:15:00,40.0,8,0.0,0.0,-1.6686981601967543,-1.775108031793707,-0.10640987159695259,-1.2856013884425326,-1.699796465484097,-0.41419507704156433,-0.3830967717542219,-0.0753115663096097,0.3077852054446122,1296.724497321136,1294.6222580644817,-2.1022392566542294,1298.3427328718783,1296.11891960036,-2.2238132715183383,1.1715051722781027,-0.2381293378571172,-1.40963451013522,2.68774066195902,1.4572759709698009,-1.230464690989219,-1.5162354896809171,-1.695405308826918,-0.17916981914600094,1298.6791541884672,1295.8797269444954,-2.799427243971877,1298.8420970219331,1297.3390285577627,-1.5030684641703829,False,False,True,False,False,False,False,True,0.38200339558574203,0.20450686834388726,42.42424242424018,15.65656565656273,0.21994134897361764,0.5353535353535489
Sell,2024-02-26 09:15:00,1282.5,1282.5,1272.9,2024-02-26 09:15:00+05:30,2024-02-26 10:40:00+05:30,2024-02-26 10:50:00,1275.35,7.150000000000091,0.557504873294354,95.0,0.0,0.75,0.0,,95.0,TECHM,True,False,0.557504873294354,1294.25,1296.9,1281.1,1282.5,31103,2024-02-26 09:15:00,1274.9,1276.0,1274.5,1275.35,5638,2024-02-26 10:50:00,95.0,19,0.0,0.0,-2.77441193069194,-3.86037451970401,-1.0859625890120697,-1.993078095628976,-4.390903540859197,-2.3978254452302212,-0.7813338350629642,0.5305290211551874,1.3118628562181516,1291.3433961290148,1276.1074445643856,-15.235951564629204,1294.086553238189,1278.8211361330716,-15.265417105117422,-1.9836740255389032,-5.997541663949278,-4.013867638410375,0.7690859716680598,-3.5571628960400443,-4.326248867708104,-2.752759997206963,-2.440378767909233,0.31238122929772993,1291.6237815555965,1279.6688741921107,-11.954907363485745,1295.1734067903567,1286.3830767223776,-8.790330067979085,False,False,True,False,False,False,False,True,0.9746588693957114,1.1228070175438667,57.20000000000073,-0.3999999999996362,0.4171539961013574,1.1520000000000072
Sell,2024-02-27 11:50:00,1264.5,1265.0,1260.9,2024-02-27 11:55:00+05:30,2024-02-27 12:20:00+05:30,2024-02-27 12:35:00,1263.55,0.9500000000000456,0.0751285092922139,45.0,0.0,0.28,0.04,1.9,40.0,TECHM,True,False,0.0751285092922139,1265.35,1265.85,1264.2,1264.5,10044,2024-02-27 11:50:00,1262.0,1263.9,1261.9,1263.55,7403,2024-02-27 12:35:00,45.0,9,0.0,0.0,-1.4601525432069593,-2.1109157038388275,-0.6507631606318682,-1.039082631439397,-1.9607041217652363,-0.9216214903258393,-0.4210699117675622,-0.1502115820735912,0.270858329693971,1267.1230111689813,1263.37999533562,-3.743015833361369,1268.5607978425726,1265.20129452628,-3.359503316292603,-3.21330552948325,-3.4511960662084675,-0.23789053672521732,-3.174693542163568,-3.340172641693965,-0.1654790995303972,-0.0386119873196819,-0.1110234245145025,-0.0724114371948206,1268.6039993568995,1266.5876476707328,-2.016351686166672,1271.1151049875525,1269.3554913194714,-1.7596136680811014,False,False,True,True,False,False,False,True,0.3163305654408857,0.2332937920126568,23.75000000000112,-13.124999999999442,0.24120205614867182,0.7375000000000113
Sell,2024-02-27 12:40:00,1266.2,1266.2,1264.85,2024-02-27 12:40:00+05:30,2024-02-27 12:50:00+05:30,2024-02-27 12:50:00,1264.85,1.3500000000001364,0.1066182277681358,10.0,0.0,0.11,0.0,,10.0,TECHM,True,False,0.1066182277681358,1263.7,1266.35,1263.65,1266.2,12760,2024-02-27 12:40:00,1265.25,1267.0,1264.0,1264.85,20905,2024-02-27 12:50:00,10.0,2,0.0,0.0,-1.7711343733317335,-1.3942425334580548,0.3768918398736787,-1.922790172078536,-1.7559270996283256,0.16686307245021048,0.1516557987468025,0.3616845661702708,0.2100287674234683,1263.943996268496,1264.3741576118375,0.4301613433415241,1265.296409333301,1265.2714371186432,-0.024972214657736913,-3.4511960662084675,-3.3333777246668888,0.11781834154157877,-3.340172641693965,-3.33881365828855,0.0013589834054150707,-0.1110234245145025,0.0054359336216611,0.11645935813616361,1266.5876476707328,1266.4001181365866,-0.18752953414627882,1269.3554913194714,1269.0025873842835,-0.3529039351878964,False,False,True,False,False,False,False,True,0.2013899857842327,0.06318117201073721,52.9411764705945,37.25490196079119,0.0947717580160969,0.3137254901960662
Sell,2024-02-27 13:45:00,1259.95,1260.0,1257.7,2024-02-27 14:05:00+05:30,2024-02-27 13:50:00+05:30,2024-02-27 14:05:00,1260.0,-0.0499999999999545,-0.0039684114448949,20.0,0.0,0.18,0.0,-1.0,0.0,TECHM,True,False,-0.0039684114448949,1261.15,1261.15,1258.55,1259.95,14076,2024-02-27 13:45:00,1258.85,1261.85,1258.85,1260.0,10420,2024-02-27 14:05:00,20.0,4,0.0,0.0,-1.124888363865466,-1.9171775642344075,-0.7922892003689415,-0.8341434345561342,-1.4226836749063496,-0.5885402403502155,-0.2907449293093319,-0.4944938893280577,-0.20374896001872583,1263.44210011992,1260.7375642091192,-2.7045359108008142,1264.478003856932,1262.584264995754,-1.893738861178008,-3.683089184263281,-3.632322122470441,0.05076706179283974,-3.360686822608612,-3.4150138825809773,-0.05432705997236509,-0.3224023616546692,-0.2173082398894639,0.10509412176520527,1263.647568388746,1263.278054710997,-0.36951367774918253,1266.740820905421,1266.2702665334762,-0.4705543719448997,False,False,True,True,False,False,False,True,0.33731497281638156,0.15079963490613624,-1.1764705882341953,-23.52941176470318,0.34128338426127647,0.4470588235293797
Sell,2024-02-27 14:10:00,1261.8,1263.5,1261.8,2024-02-27 14:20:00+05:30,2024-02-27 14:10:00+05:30,2024-02-27 14:20:00,1263.5,-1.7000000000000457,-0.1347281661119072,10.0,0.0,0.0,0.13,-1.0,0.0,TECHM,True,False,-0.1347281661119072,1260.0,1262.0,1259.5,1261.8,7310,2024-02-27 14:10:00,1263.05,1264.0,1262.85,1263.5,6767,2024-02-27 14:20:00,10.0,2,0.0,0.0,-1.741146349589371,-1.2383819170142942,0.5027644325750769,-1.486376209842954,-1.4382593568043711,0.04811685303858293,-0.2547701397464172,0.1998774397900768,0.45464757953649404,1260.9500513672956,1261.7720328750693,0.8219815077736712,1262.5095730913963,1262.6375416915969,0.12796860020057466,-3.632322122470441,-3.5870508105533645,0.04527131191707667,-3.4150138825809773,-3.4494212681754544,-0.03440738559447709,-0.2173082398894639,-0.1376295423779101,0.07967869751155379,1263.278054710997,1262.8924437687976,-0.3856109421992642,1266.2702665334762,1265.8016697207645,-0.46859681271166664,False,False,True,True,False,False,False,True,0.18227928356316014,0.1981296560469171,-73.91304347826427,-128.26086956522187,0.31700744967506733,1.086956521739152
