threshold,total_trades,num_wins,num_losses,win_rate_pct,profit_factor,avg_win_pct,avg_loss_pct,total_return_pct,sharpe_ratio,avg_duration_minutes,losers_to_winners_count,winners_to_losers_count,net_outcome_improvement,window_id,window_start,window_end,window_num_trades,trade_type
0.9,795,425,333,53.459119496855344,2.9821888770211125,0.4548962630691937,0.19468026093031185,128.50238491461346,4.791829810392142,47.37106918238994,28,11,17,3,2024-01-31 09:15:00,2024-03-01 09:15:00,1588,Buy
0.95,795,434,323,54.59119496855346,3.246079693404136,0.4530950548305289,0.18755012225045375,136.06456430955302,5.110674938328542,46.899371069182386,39,13,26,3,2024-01-31 09:15:00,2024-03-01 09:15:00,1588,Buy
0.5,738,367,343,49.728997289972895,1.965187079219322,0.416133738356032,0.22656925265296934,75.00782831669528,3.248927899564683,64.65447154471545,4,2,2,4,2024-02-15 09:15:00,2024-03-16 09:15:00,1497,Buy
0.6,738,369,341,50.0,1.9797291306159437,0.4143926740891644,0.22650525523192408,75.67260470481554,3.279921789886444,64.60027100271003,7,3,4,4,2024-02-15 09:15:00,2024-03-16 09:15:00,1497,Buy
0.7,738,370,340,50.135501355013545,1.999961764902183,0.4132508178734458,0.22486136146450916,76.44993971524181,3.3206797240755113,64.53252032520325,8,3,5,4,2024-02-15 09:15:00,2024-03-16 09:15:00,1497,Buy
0.8,738,372,338,50.40650406504065,2.0568740569958854,0.41242890686431627,0.2206823683638635,78.83291284653977,3.4472777330054454,64.3970189701897,11,4,7,4,2024-02-15 09:15:00,2024-03-16 09:15:00,1497,Buy
0.9,738,380,330,51.490514905149055,2.1754194671857463,0.40639110177872595,0.21511507008095654,83.44064554920021,3.673051476234465,64.05149051490515,21,6,15,4,2024-02-15 09:15:00,2024-03-16 09:15:00,1497,Buy
0.95,738,390,320,52.84552845528455,2.4213840037912315,0.4048942811293847,0.20379456722015393,92.69450813001075,4.113497038347565,63.550135501355015,32,7,25,4,2024-02-15 09:15:00,2024-03-16 09:15:00,1497,Buy
0.5,617,312,283,50.56726094003241,2.087646092866992,0.4479277986793044,0.23654800919235067,72.81038658650773,3.614531278776901,73.57374392220422,2,2,0,5,2024-03-01 09:15:00,2024-03-31 09:15:00,1193,Buy
0.6,617,313,282,50.72933549432739,2.113754411993039,0.44842230388956605,0.2354658381755191,73.95481475193779,3.675003264209815,73.54132901134521,3,2,1,5,2024-03-01 09:15:00,2024-03-31 09:15:00,1193,Buy
0.7,617,315,280,51.053484602917344,2.1438282481640605,0.4461755241565535,0.2341360438299954,74.98719783691564,3.7332363105519635,73.47649918962723,5,2,3,5,2024-03-01 09:15:00,2024-03-31 09:15:00,1193,Buy
0.8,617,316,279,51.21555915721232,2.2256183421269933,0.4451409374648232,0.22653208569987315,77.46208432861954,3.902487666363639,73.322528363047,6,2,4,5,2024-03-01 09:15:00,2024-03-31 09:15:00,1193,Buy
0.9,617,324,269,52.51215559157212,2.434626584257395,0.44064655181472,0.2179971150953212,84.1282588273279,4.276379962376227,72.9578606158833,14,2,12,5,2024-03-01 09:15:00,2024-03-31 09:15:00,1193,Buy
0.95,617,339,255,54.94327390599676,2.6657461105975973,0.43282417059374256,0.2158500924558775,91.68562025502999,4.677638734130861,72.38249594813614,29,2,27,5,2024-03-01 09:15:00,2024-03-31 09:15:00,1193,Buy
0.5,570,286,260,50.175438596491226,2.347054629743701,0.4185059238659533,0.19614222456458957,68.69571583886938,3.934378837779566,52.70175438596491,3,6,-3,6,2024-03-16 09:15:00,2024-04-15 09:15:00,1126,Buy
0.6,570,287,259,50.35087719298246,2.3873151240321295,0.4191477427008845,0.1945537091046428,69.90599149705136,4.0091467866570705,52.64912280701754,4,6,-2,6,2024-03-16 09:15:00,2024-04-15 09:15:00,1126,Buy
0.7,570,288,258,50.526315789473685,2.4296830277264543,0.41829568485925184,0.19217927303848728,70.88690479553483,4.076436017299459,52.59649122807018,5,6,-1,6,2024-03-16 09:15:00,2024-04-15 09:15:00,1126,Buy
0.8,570,290,256,50.877192982456144,2.5338378566829616,0.4165996932266539,0.18625080477766637,73.13370501264704,4.240749459932025,52.421052631578945,7,6,1,6,2024-03-16 09:15:00,2024-04-15 09:15:00,1126,Buy
0.9,570,295,248,51.75438596491229,2.73886041004073,0.4174036738359265,0.1812828432310542,78.17593866029688,4.554548811664611,52.05263157894737,13,7,6,6,2024-03-16 09:15:00,2024-04-15 09:15:00,1126,Buy
0.95,570,310,232,54.385964912280706,2.953397666738341,0.40852526214940205,0.18482924898578998,83.76244550161137,4.893428816188007,51.44736842105263,28,7,21,6,2024-03-16 09:15:00,2024-04-15 09:15:00,1126,Buy
0.5,587,310,253,52.81090289608177,2.2631953585439635,0.38755122777599527,0.20982065863669072,67.05625397547578,3.6441870073186036,52.453151618398635,4,5,-1,7,2024-03-31 09:15:00,2024-04-30 09:15:00,1221,Buy
0.6,587,310,253,52.81090289608177,2.2660061690224147,0.38755122777599527,0.2095603918669202,67.12210146822773,3.648134770718797,52.43611584327087,4,5,-1,7,2024-03-31 09:15:00,2024-04-30 09:15:00,1221,Buy
0.7,587,310,253,52.81090289608177,2.276324612715539,0.3875940046815995,0.20863349299593498,67.36986772332429,3.664617815328214,52.393526405451446,4,5,-1,7,2024-03-31 09:15:00,2024-04-30 09:15:00,1221,Buy
0.8,587,313,251,53.32197614991482,2.3250524171180356,0.38572979955664755,0.20688121558983738,68.80624214818151,3.750974759503767,52.24872231686542,7,5,2,7,2024-03-31 09:15:00,2024-04-30 09:15:00,1221,Buy
0.9,587,314,250,53.4923339011925,2.4584784182863184,0.3872529870765052,0.19784178219759532,72.1369923926238,3.9591717491166896,51.95059625212947,10,7,3,7,2024-03-31 09:15:00,2024-04-30 09:15:00,1221,Buy
0.95,587,326,237,55.5366269165247,2.6207373320254157,0.37919987680469247,0.19902789347391847,76.44954908501107,4.216325154514744,51.465076660988075,23,8,15,7,2024-03-31 09:15:00,2024-04-30 09:15:00,1221,Buy
0.5,636,325,281,51.100628930817614,1.9216779340139614,0.4146496184259927,0.2495615692538293,64.6343250281216,3.059602420768683,51.831761006289305,8,3,5,8,2024-04-15 09:15:00,2024-05-15 09:15:00,1248,Buy
0.6,636,326,280,51.257861635220124,1.9257725165425237,0.41342116666528894,0.24994663398557262,64.79024281692386,3.0674315869957764,51.82389937106918,9,3,6,8,2024-04-15 09:15:00,2024-05-15 09:15:00,1248,Buy
0.7,636,329,277,51.729559748427675,1.9305042804530537,0.410830580637211,0.2527598699873504,65.14877704314637,3.0838505967367316,51.7688679245283,12,3,9,8,2024-04-15 09:15:00,2024-05-15 09:15:00,1248,Buy
0.8,636,330,276,51.886792452830186,2.0240427364735822,0.4101272172293967,0.2422723048405532,68.47482554970824,3.276722576331,51.63522012578616,13,3,10,8,2024-04-15 09:15:00,2024-05-15 09:15:00,1248,Buy
0.9,636,337,271,52.987421383647806,2.2189845452340777,0.4055629147681279,0.227281751840843,75.08134752799064,3.6467092172607476,51.312893081761004,21,4,17,8,2024-04-15 09:15:00,2024-05-15 09:15:00,1248,Buy
0.95,636,347,260,54.55974842767296,2.4187048565261304,0.4037243891708246,0.22277078556236413,82.17195879606146,4.012480898000542,50.84119496855346,34,7,27,8,2024-04-15 09:15:00,2024-05-15 09:15:00,1248,Buy
0.5,693,341,325,49.2063492063492,1.7380405248136135,0.41446553483779786,0.25020704967977664,60.01545623376167,2.591509826908052,71.76767676767676,13,3,10,9,2024-04-30 09:15:00,2024-05-30 09:15:00,1375,Buy
0.6,693,342,324,49.35064935064935,1.7428231579933393,0.4136684923891073,0.25054181389370894,60.29907669551299,2.603977084152212,71.75324675324676,14,3,11,9,2024-04-30 09:15:00,2024-05-30 09:15:00,1375,Buy
0.7,693,345,321,49.78354978354979,1.7688231706049469,0.41136400916075083,0.24995160856602033,61.68611681076652,2.670800080564036,71.68109668109668,17,3,14,9,2024-04-30 09:15:00,2024-05-30 09:15:00,1375,Buy
0.8,693,346,319,49.92784992784993,1.8454886511844297,0.4104097018020129,0.24120797103179967,65.05641406435237,2.844301972640667,71.53679653679653,18,3,15,9,2024-04-30 09:15:00,2024-05-30 09:15:00,1375,Buy
0.9,693,354,311,51.082251082251084,1.9934374682413825,0.40510579912799577,0.231317620550177,71.46767290020547,3.1588689735212063,71.16161616161617,29,6,23,9,2024-04-30 09:15:00,2024-05-30 09:15:00,1375,Buy
