trade_id,ticker,entry_time,exit_time,side,entry_price,exit_price,quantity,pnl,strategy
NIFTY_0067,NIFTY,2025-07-15T11:45:00+05:30,2025-07-18T11:45:00+05:30,SHORT,25204.65,24951.35,10,2383.0,phase4_full_backtest
INFY_0067,INFY,2025-07-15T13:30:00+05:30,2025-07-18T13:30:00+05:30,LONG,1586.0,1585.1,10,-159.0,phase4_full_backtest
BANKNIFTY_0067,BANKNIFTY,2025-07-15T14:00:00+05:30,2025-07-18T10:00:00+05:30,SHORT,56983.65,56408.9,10,5597.5,phase4_full_backtest
RELIANCE_0067,RELIANCE,2025-07-15T14:00:00+05:30,2025-07-18T14:00:00+05:30,LONG,1487.5,1474.7,10,-278.0,phase4_full_backtest
NIFTY_0068,NIFTY,2025-07-16T11:00:00+05:30,2025-07-18T14:45:00+05:30,LONG,25145.75,24973.1,10,-1876.5,phase4_full_backtest
INFY_0068,INFY,2025-07-16T13:30:00+05:30,2025-07-18T15:15:00+05:30,LONG,1605.3,1588.2,10,-321.0,phase4_full_backtest
RELIANCE_0068,RELIANCE,2025-07-16T14:00:00+05:30,2025-07-18T15:15:00+05:30,SHORT,1485.0,1476.0,10,-60.0,phase4_full_backtest
BANKNIFTY_0068,BANKNIFTY,2025-07-16T14:45:00+05:30,2025-07-18T14:15:00+05:30,SHORT,57188.1,56368.7,10,8044.0,phase4_full_backtest
TCS_0068,TCS,2025-07-16T14:45:00+05:30,2025-07-17T14:30:00+05:30,SHORT,3240.2,3219.1,10,61.0,phase4_full_backtest
RELIANCE_0069,RELIANCE,2025-07-17T12:15:00+05:30,2025-07-18T15:15:00+05:30,SHORT,1483.5,1476.0,10,-75.0,phase4_full_backtest
BANKNIFTY_0069,BANKNIFTY,2025-07-17T13:30:00+05:30,2025-07-18T15:15:00+05:30,SHORT,56903.6,56253.7,10,6349.0,phase4_full_backtest
NIFTY_0069,NIFTY,2025-07-17T14:00:00+05:30,2025-07-18T15:15:00+05:30,SHORT,25156.0,24967.45,10,1735.5,phase4_full_backtest
INFY_0069,INFY,2025-07-18T09:30:00+05:30,2025-07-21T09:30:00+05:30,SHORT,1585.4,1575.2,10,-48.0,phase4_full_backtest
TCS_0069,TCS,2025-07-18T09:30:00+05:30,2025-07-21T09:30:00+05:30,SHORT,3214.6,3165.6,10,340.0,phase4_full_backtest
INFY_0070,INFY,2025-07-18T13:00:00+05:30,2025-07-21T13:00:00+05:30,LONG,1586.5,1581.0,10,-205.0,phase4_full_backtest
NIFTY_0070,NIFTY,2025-07-21T09:15:00+05:30,2025-07-23T09:15:00+05:30,LONG,24901.55,25113.75,10,1972.0,phase4_full_backtest
BANKNIFTY_0070,BANKNIFTY,2025-07-21T10:15:00+05:30,2025-07-24T10:15:00+05:30,LONG,56682.7,57049.5,10,3518.0,phase4_full_backtest
