Trade Type,Entry Time,Entry Price,High During Trade,Low During Trade,High Time,Low Time,Exit Time,Exit Price,Profit (Currency),Profit (%),Trade Duration (min),PnL,Target (%),Drawdown (%),RRR,Recovery Time (min),ticker,strategy_generated,risk_processed
Buy,2025-05-02 13:35:00+05:30,1510.8,1512.7,1508.4,2025-05-02 13:50:00+05:30,2025-05-02 14:05:00+05:30,2025-05-02 14:05:00+05:30,1508.4,-2.399999999999864,-0.1588562351072189,30.0,0.0,0.13,0.16,-1.0,0.0,INFY,True,False
Buy,2025-05-02 14:10:00+05:30,1506.7,1506.7,1505.8,2025-05-02 14:10:00+05:30,2025-05-02 14:20:00+05:30,2025-05-02 14:20:00+05:30,1505.8,-0.900000000000091,-0.0597331917435515,10.0,0.0,0.0,0.06,-1.0,0.0,INFY,True,False
Sell,2025-05-02 14:25:00+05:30,3429.9,3431.3,3427.5,2025-05-02 14:35:00+05:30,2025-05-02 14:30:00+05:30,2025-05-02 14:35:00+05:30,3431.3,-1.400000000000091,-0.0408175165456745,10.0,0.0,0.07,0.04,-1.0,0.0,TCS,True,False
Sell,2025-05-02 14:30:00+05:30,55020.4,55195.8,55020.4,2025-05-02 14:50:00+05:30,2025-05-02 14:30:00+05:30,2025-05-02 14:50:00+05:30,55195.8,-175.40000000000146,-0.3187908484852917,20.0,0.0,0.0,0.32,-1.0,0.0,BANKNIFTY,True,False
Sell,2025-05-02 14:35:00+05:30,24316.25,24372.4,24316.25,2025-05-02 14:50:00+05:30,2025-05-02 14:35:00+05:30,2025-05-02 14:50:00+05:30,24372.4,-56.150000000001455,-0.2309155400195402,15.0,0.0,0.0,0.23,-1.0,0.0,NIFTY,True,False
Sell,2025-05-02 14:40:00+05:30,3433.9,3440.0,3433.9,2025-05-02 14:50:00+05:30,2025-05-02 14:40:00+05:30,2025-05-02 14:50:00+05:30,3440.0,-6.099999999999909,-0.1776405835929965,10.0,0.0,0.0,0.18,-1.0,0.0,TCS,True,False
Sell,2025-05-02 14:55:00+05:30,24373.95,24373.95,24354.25,2025-05-02 14:55:00+05:30,2025-05-02 15:00:00+05:30,2025-05-02 15:05:00+05:30,24354.95,19.0,0.0779520758842945,10.0,0.0,0.08,0.0,,10.0,NIFTY,True,False
Sell,2025-05-02 14:55:00+05:30,55195.45,55195.45,55111.5,2025-05-02 14:55:00+05:30,2025-05-02 15:05:00+05:30,2025-05-02 15:05:00+05:30,55111.5,83.94999999999709,0.1520958702211814,10.0,0.0,0.15,0.0,,10.0,BANKNIFTY,True,False
Sell,2025-05-05 09:15:00+05:30,55105.75,55105.75,54916.7,2025-05-05 09:15:00+05:30,2025-05-05 09:30:00+05:30,2025-05-05 09:50:00+05:30,55091.0,14.75,0.0267667167219391,35.0,0.0,0.34,0.0,,35.0,BANKNIFTY,True,False
Sell,2025-05-05 09:15:00+05:30,24436.9,24447.05,24436.9,2025-05-05 09:20:00+05:30,2025-05-05 09:15:00+05:30,2025-05-05 09:20:00+05:30,24447.05,-10.149999999997815,-0.0415355466527989,5.0,0.0,0.0,0.04,-1.0,0.0,NIFTY,True,False
