,ARTEMISMED,EIHOTEL,VEDL,VBL,AADHARHFC,BERGEPAINT,EMAMILTD,CREATIVE,HCG,AUBANK,CCL,NEWGEN,FORTIS,INTELLECT,AXISBANK,BHARATFORG,MAXHEALTH,KAJARIACER,WHIRLPOOL,HCLTECH,INFY,NH,BHARTIHEXA,ICICIGI,UBL,GLENMARK,KIRLOSBROS,KOTAKBANK
CCL,0.014487160902062764,0.09371026204981946,0.04212690376569999,0.06559698516967445,0.07592897801648106,0.09172999852586214,0.0791132711261057,0.0004091541445135416,0.036858226991863904,0.0553932520868995,1.0,0.07282503357837818,0.04667426227203469,0.10893414109618356,0.1196207663825206,0.038759640856155894,0.021149227523271988,0.059265688780075806,0.01818239791080097,0.06408877344182341,0.06292945735118353,0.07571733367876092,0.0550838384125105,-0.04132497890118001,0.1135599067193384,0.04522098350074482,0.12726718826584602,0.11134607403852753
NEWGEN,0.009426810883196291,0.04525968482060911,0.07395601026217864,0.010598876116019527,0.04724089705841486,-0.007420296579390165,-0.009377311237480859,0.029995862983951547,-0.004026219835860205,0.03649620682042248,0.07282503357837818,1.0,0.09484224937856209,0.09663649926257961,0.05110056670728033,0.028206907459059245,0.003919565078033353,0.005347439633842774,0.029237878380850717,0.06834074648536058,0.05319364560719413,0.0038197077625565334,0.06453742390747186,0.07590516818930282,-0.06527331625404309,0.07214650998908945,0.07320740602250228,0.03263752270474527
FORTIS,0.020180772231838683,0.020913874745553063,0.058378525876805684,0.010137378510735855,0.04004005291780175,0.024109245278996997,0.03693435488901961,0.08496043026057247,0.03483794953234778,0.044654838876260435,0.04667426227203469,0.09484224937856209,1.0,0.04149254308511575,0.11755464095277579,0.12001112919218537,0.008091390620070926,0.07905616867760079,0.021815073656372932,0.05032020670010583,0.018530829482148476,0.0872807163708492,0.17169637237224306,0.02393514941177948,0.014331651520093662,0.08712479944944587,0.062134447110573435,0.0011050838260828588
INTELLECT,0.06980322917398954,0.0174135159945024,0.08735672871452475,0.06360262948483693,-0.010205700723622022,0.02598029718239513,0.03854236963757887,0.04360993028144062,0.06529959221472767,0.024166144391130278,0.10893414109618356,0.09663649926257961,0.04149254308511575,1.0,0.11302995344595182,0.04370642764723598,0.046500111215252854,0.025237614818483904,0.08130095958248489,0.1517890516319549,0.17305017013099935,0.07986084048158373,-0.019602792721949154,0.09969270005423707,0.04901837858577581,0.09732186675541185,0.07592324228756923,0.010087267466915278
AXISBANK,0.05702543328817212,0.010238343794011536,0.05638377748328928,0.05970712164038042,0.04939540047907632,0.09419467354532765,0.049875973045897325,0.04116670156284435,0.0746536948206194,0.13672686080857127,0.1196207663825206,0.05110056670728033,0.11755464095277579,0.11302995344595182,1.0,0.11509154848822975,0.07795538370734892,0.074428484482821,0.07795635507508235,0.11245303028038163,0.0611868629488155,0.010993620088169226,0.09790279735067947,0.1374634037496963,0.026786607904957963,0.1154426854171389,0.07543565374665345,0.23552852524241683
BHARATFORG,0.05368185865909531,0.05135665180713024,0.08450395170871058,0.06079449207593557,0.14799182348376622,0.04961608156706886,0.009657416156662832,0.07068341941676327,0.050501057702632836,0.029412164624569526,0.038759640856155894,0.028206907459059245,0.12001112919218537,0.04370642764723598,0.11509154848822975,1.0,0.061955610407923974,0.08612422064800905,0.05146196253810573,0.10967643743714155,0.044834393263650345,0.09042022716973713,0.09009223095571993,0.11855179910047361,0.028405869823530258,0.102688471643694,0.13213166545460653,0.036501098946035794
MAXHEALTH,0.0249870208706219,0.022038377606131143,0.04931955853945025,0.04644298722618168,0.05807957081699417,0.04526300212916131,0.045729459279877836,0.04750240522744683,0.059483672994716665,0.07761167012072265,0.021149227523271988,0.003919565078033353,0.008091390620070926,0.046500111215252854,0.07795538370734892,0.061955610407923974,1.0,0.04367508433996702,0.04455417288308045,-4.813559439855117e-05,0.0248358828652654,0.09376749656606369,0.031861954703960735,-0.00011050195700450343,0.0716356882420615,0.033716868724262154,0.07286070333589655,0.0837776952170697
KAJARIACER,0.012109671462954339,0.014404916885191604,0.03187562612091554,0.053799671469375455,0.03953626785287033,0.012910972447027791,0.051833745680005275,-0.04499069051034193,0.02982185593584007,-0.009160395251273741,0.059265688780075806,0.005347439633842774,0.07905616867760079,0.025237614818483904,0.074428484482821,0.08612422064800905,0.04367508433996702,1.0,0.04655161669691905,0.035162116274207636,0.013686274161114998,0.015781531434097457,-0.004838646873614745,0.024554637088024866,-0.013204296249086218,0.10409136745851885,0.006201685720681363,0.06946060102345737
WHIRLPOOL,0.11024383747651359,0.055805012138252244,0.0375038529263579,0.0493833101648762,0.02343494452687045,0.10738108042427436,0.12748661567030803,0.002997233873775373,0.04685512245493987,0.06632859581634802,0.01818239791080097,0.029237878380850717,0.021815073656372932,0.08130095958248489,0.07795635507508235,0.05146196253810573,0.04455417288308045,0.04655161669691905,1.0,0.029435805528937847,0.00045380155048020947,0.04924242506628246,0.05538854479894726,0.08012405900966892,0.07037407896631602,0.0628469653895098,0.0818755966456083,0.06581489218877866
HCLTECH,-0.014025094695367425,0.025641062772500188,0.10067334317805042,0.07436633283861996,0.019901473815613337,0.12877125654235339,0.08272063341039967,0.031907185445081365,0.019350543677439477,-0.03218942390822825,0.06408877344182341,0.06834074648536058,0.05032020670010583,0.1517890516319549,0.11245303028038163,0.10967643743714155,-4.813559439855117e-05,0.035162116274207636,0.029435805528937847,1.0,0.43651184262536025,0.0345422560354012,-0.031605911410251646,0.12400023623179765,0.05865172916148185,0.058041937509797914,0.03276436771765284,0.07454824060842381
